public_id,source_repository,source_commit,source_date,legacy_reference,notes
ST-002,ModuleReact3Fiber,4f01017,2026-08-17,WizardGangLocal 8da74f3,portable game engine client protocol and storage imported as ordinary files
ST-004,ModuleReact3Fiber,a741d83,2026-08-18,WizardGangLocal 27cfecf,realtime SharkTank engine and browser client
ST-004,ModulePHP,85bb8f8,2026-08-18,WizardGangLocal 27cfecf,initial PHP protocol-parity proof
ST-004,ModulePHP,07be52b,2026-08-18,WizardGangLocal 27cfecf,PHP 40 Hz game-feel parity update
ST-005,ModuleReact3Fiber,e2a3fc5,2026-08-21,ancestor of WizardGangLocal d96fae5,nested MIT licence
ST-007,ModuleReact3Fiber,c270c9e,2026-08-21,WizardGangLocal d96fae5,committed deployed client engine protocol and accessibility batch
ST-009,ModuleReact3Fiber,b75bcdb,2026-08-22,WizardGangLocal 5e8f7f0,announcement connection shortcut and spoken-position accessibility
ST-011,ModuleReact3Fiber,02c187c,2026-08-22,WizardGangLocal 0c9c204,visible names in any script
ST-019,ModuleReact3Fiber,070034d,2026-08-23,WizardGangLocal 6f96e4a,reduced motion focus and contrast fixes
ST-028,ModuleReact3Fiber,008404d,2026-08-28,WizardGangLocal 3b89ed7,portfolio case-study link
